Serie,Date,Day,Month,Year,Site,Management,Transect,Quadrats,Place_in_transect ,Depth,Group,Species,Presence,Abundance,Holdfast,Stipes,TL,Frondosity,Obs,Sampler,Anotate,Entered by
2305,11-12-2018,11,12,2018,Punta El Yeso,TURF,7,10,,5.3,Animal,Patiria chilensis,1,12,NaN,NaN,NaN,NaN,NaN,Rodrigo Mu–oz,Rodrigo Mu–oz,Rodrigo Mu–oz
2306,11-12-2018,11,12,2018,Punta El Yeso,TURF,7,10,,5.3,Animal,Anemonia alicemartinae,1,3,NaN,NaN,NaN,NaN,NaN,Rodrigo Mu–oz,Rodrigo Mu–oz,Rodrigo Mu–oz
2307,11-12-2018,11,12,2018,Punta El Yeso,TURF,7,10,,5.3,Animal,Chiton cummingi,1,5,NaN,NaN,NaN,NaN,NaN,Rodrigo Mu–oz,Rodrigo Mu–oz,Rodrigo Mu–oz
2308,11-12-2018,11,12,2018,Punta El Yeso,TURF,7,10,,5.3,Animal,Tegula tridentata,1,86,NaN,NaN,NaN,NaN,NaN,Rodrigo Mu–oz,Rodrigo Mu–oz,Rodrigo Mu–oz
2309,11-12-2018,11,12,2018,Punta El Yeso,TURF,7,10,,5.3,Animal,Loxechinus albus,1,4,NaN,NaN,NaN,NaN,NaN,Rodrigo Mu–oz,Rodrigo Mu–oz,Rodrigo Mu–oz
2310,11-12-2018,11,12,2018,Punta El Yeso,TURF,7,10,,5.3,Animal,Tetrapygus niger,1,5,NaN,NaN,NaN,NaN,NaN,Rodrigo Mu–oz,Rodrigo Mu–oz,Rodrigo Mu–oz
2311,11-12-2018,11,12,2018,Punta El Yeso,TURF,7,10,,5.3,Animal,Argobuccinum pustulosum,1,1,NaN,NaN,NaN,NaN,NaN,Rodrigo Mu–oz,Rodrigo Mu–oz,Rodrigo Mu–oz
2312,11-12-2018,11,12,2018,Punta El Yeso,TURF,7,10,,5.3,Animal,Athyonidium chilensis,1,1,NaN,NaN,NaN,NaN,NaN,Rodrigo Mu–oz,Rodrigo Mu–oz,Rodrigo Mu–oz
2313,28-10-19,28,10,2019,Quintay A,TURF,1,1,10,14.1,Macroalga ,Lessonia trabeculata,1,1,38,9,225,,,Camila Gonzalez,Camila Gonzalez,Camila Gonzalez
2314,28-10-19,28,10,2019,Quintay A,TURF,1,2,40,13.3,Macroalga ,Lessonia trabeculata,0,0,0,0,0,0,,Camila Gonzalez,Camila Gonzalez,Camila Gonzalez
2315,28-10-19,28,10,2019,Quintay A,TURF,1,3,60,13.9,Macroalga ,Lessonia trabeculata,0,0,0,0,0,0,,Camila Gonzalez,Camila Gonzalez,Camila Gonzalez
2316,28-10-19,28,10,2019,Quintay A,TURF,1,4,70,12.3,Macroalga ,Lessonia trabeculata,0,0,0,0,0,0,,Camila Gonzalez,Camila Gonzalez,Camila Gonzalez
2317,28-10-19,28,10,2019,Quintay A,TURF,1,5,80,10,Macroalga ,Lessonia trabeculata,0,0,0,0,0,0,,Camila Gonzalez,Camila Gonzalez,Camila Gonzalez
2318,28-10-19,28,10,2019,Quintay A,TURF,5,1,,18.2,Macroalga ,Lessonia trabeculata,1,1,25,3,170,,,Camila Gonzalez,Camila Gonzalez,Camila Gonzalez
2319,28-10-19,28,10,2019,Quintay A,TURF,5,2,,18,Macroalga ,Lessonia trabeculata,1,1,60,24,290,,,Camila Gonzalez,Camila Gonzalez,Camila Gonzalez
2320,28-10-19,28,10,2019,Quintay A,TURF,5,3,,17.3,Macroalga ,Lessonia trabeculata,1,1,48,9,207,,,Camila Gonzalez,Camila Gonzalez,Camila Gonzalez
2321,28-10-19,28,10,2019,Quintay A,TURF,5,4,,15,Macroalga ,Lessonia trabeculata,1,1,40,12,155,,,Camila Gonzalez,Camila Gonzalez,Camila Gonzalez
2322,28-10-19,28,10,2019,Quintay A,TURF,5,5,,13,Macroalga ,Lessonia trabeculata,1,1,40,10,140,,,Camila Gonzalez,Camila Gonzalez,Camila Gonzalez
2323,28-10-19,28,10,2019,Quintay A,TURF,5,5,,13,Macroalga ,Lessonia trabeculata,1,1,19,1,164,,,Camila Gonzalez,Camila Gonzalez,Camila Gonzalez
2324,28-10-19,28,10,2019,Quintay A,TURF,5,3,,17.3,Animal,Tegula tridentata,1,107,NaN,NaN,NaN,NaN,NaN,Camila Gonzalez,Camila Gonzalez,Camila Gonzalez
2325,28-10-19,28,10,2019,Quintay A,TURF,5,3,,17.3,Animal,Tetrapygus niger,1,1,NaN,NaN,NaN,NaN,NaN,Camila Gonzalez,Camila Gonzalez,Camila Gonzalez
2326,28-10-19,28,10,2019,Quintay A,TURF,5,4,,15,Animal,Tetrapygus niger,1,1,NaN,NaN,NaN,NaN,NaN,Camila Gonzalez,Camila Gonzalez,Camila Gonzalez
2327,28-10-19,28,10,2019,Quintay A,TURF,5,5,,13,Animal,Tetrapygus niger,1,6,NaN,NaN,NaN,NaN,NaN,Camila Gonzalez,Camila Gonzalez,Camila Gonzalez
2328,29-10-19,29,10,2019,Quintay A,TURF,10,1,,16.4,Animal,Taliepus sp,1,4,NaN,NaN,NaN,NaN,NaN,Camila Gonzalez,Camila Gonzalez,Camila Gonzalez
2329,29-10-19,29,10,2019,Quintay A,TURF,10,1,,16.4,Animal,Tetrapygus niger,1,34,NaN,NaN,NaN,NaN,NaN,Camila Gonzalez,Camila Gonzalez,Camila Gonzalez
2330,29-10-19,29,10,2019,Quintay A,TURF,7,1,0,12.6,Macroalga ,Lessonia trabeculata,1,1,24,10,172,3,,Rodrigo Mu–oz,Rodrigo Mu–oz,Rodrigo Mu–oz
2331,29-10-19,29,10,2019,Quintay B,TURF,10,1,,20.8,Macroalga ,Lessonia trabeculata,1,1,25,8,194,,,Camila Gonzalez,Camila Gonzalez,Camila Gonzalez
2332,29-10-19,29,10,2019,Quintay B,TURF,10,1,,20.8,Macroalga ,Lessonia trabeculata,1,1,28,5,220,,,Camila Gonzalez,Camila Gonzalez,Camila Gonzalez
2333,29-10-19,29,10,2019,Quintay B,TURF,10,1,,20.8,Animal,Tetrapygus niger,1,3,NaN,NaN,NaN,NaN,NaN,Camila Gonzalez,Camila Gonzalez,Camila Gonzalez
2334,29-10-19,29,10,2019,Quintay B,TURF,10,1,,20.8,Animal,Tegula tridentata,1,2,NaN,NaN,NaN,NaN,NaN,Camila Gonzalez,Camila Gonzalez,Camila Gonzalez
2335,29-10-19,29,10,2019,Quintay B,TURF,10,1,,20.8,Macroalga ,Lessonia trabeculata,1,1,27,3,195,,,Hannah Earp,Hannah Earp,Italo Fernandez
2336,29-10-19,29,10,2019,Quintay B,TURF,10,1,,20.8,Macroalga ,Lessonia trabeculata,1,1,22,1,131,,,Hannah Earp,Hannah Earp,Italo Fernandez
2337,29-10-19,29,10,2019,Quintay B,TURF,10,2,,15,Macroalga ,Lessonia trabeculata,1,1,40,5,170,,,Camila Gonzalez,Camila Gonzalez,Camila Gonzalez
2338,29-10-19,29,10,2019,Quintay B,TURF,10,2,,15,Animal,Tetrapygus niger,1,30,NaN,NaN,NaN,NaN,NaN,Camila Gonzalez,Camila Gonzalez,Camila Gonzalez
2339,29-10-19,29,10,2019,Quintay B,TURF,10,2,,15,Macroalga ,Lessonia trabeculata,1,1,29,4,180,,,Camila Gonzalez,Camila Gonzalez,Camila Gonzalez
2340,29-10-19,29,10,2019,Quintay B,TURF,10,2,,15,Macroalga ,Lessonia trabeculata,1,1,23,2,180,,,Camila Gonzalez,Camila Gonzalez,Camila Gonzalez
2341,29-10-19,29,10,2019,Quintay A,TURF,7,1,0,12.6,Macroalga ,Lessonia trabeculata,1,1,14,1,134,3,,Rodrigo Mu–oz,Rodrigo Mu–oz,Rodrigo Mu–oz
2342,29-10-19,29,10,2019,Quintay A,TURF,7,1,0,12.6,Macroalga ,Lessonia trabeculata,1,1,12,3,120,3,,Vladimir Garmendia,Vladimir Garmendia,Rodrigo Mu–oz
2343,29-10-19,29,10,2019,Quintay A,TURF,10,2,,17.8,Animal,Taliepus sp,1,1,NaN,NaN,NaN,NaN,NaN,Camila Gonzalez,Camila Gonzalez,Camila Gonzalez
2344,29-10-19,29,10,2019,Quintay A,TURF,10,2,,17.8,Animal,Tegula tridentata,1,48,NaN,NaN,NaN,NaN,NaN,Camila Gonzalez,Camila Gonzalez,Camila Gonzalez
2345,29-10-19,29,10,2019,Quintay A,TURF,10,2,,17.8,Animal,Tetrapygus niger,1,6,NaN,NaN,NaN,NaN,NaN,Camila Gonzalez,Camila Gonzalez,Camila Gonzalez
2346,29-10-19,29,10,2019,Quintay A,TURF,7,1,0,12.6,Macroalga ,Lessonia trabeculata,1,1,22,12,171,3,,Vladimir Garmendia,Vladimir Garmendia,Rodrigo Mu–oz
2347,29-10-19,29,10,2019,Quintay A,TURF,7,1,0,12.6,Macroalga ,Lessonia trabeculata,1,1,15,3,160,3,,Vladimir Garmendia,Vladimir Garmendia,Rodrigo Mu–oz
2348,29-10-19,29,10,2019,Quintay A,TURF,7,2,20,12.1,Macroalga ,Lessonia trabeculata,1,1,22,9,141,3,,Rodrigo Mu–oz,Rodrigo Mu–oz,Rodrigo Mu–oz
2349,29-10-19,29,10,2019,Quintay A,TURF,7,2,20,12.1,Macroalga ,Lessonia trabeculata,1,1,15,1,144,3,,Rodrigo Mu–oz,Rodrigo Mu–oz,Rodrigo Mu–oz
2350,29-10-19,29,10,2019,Quintay A,TURF,7,2,20,12.1,Macroalga ,Lessonia trabeculata,1,1,32,10,135,3,,Rodrigo Mu–oz,Rodrigo Mu–oz,Rodrigo Mu–oz
2351,29-10-19,29,10,2019,Quintay A,TURF,7,2,20,12.1,Macroalga ,Lessonia trabeculata,1,1,24,9,130,3,,Vladimir Garmendia,Vladimir Garmendia,Rodrigo Mu–oz
2352,29-10-19,29,10,2019,Quintay A,TURF,7,2,20,12.1,Macroalga ,Lessonia trabeculata,1,1,22,3,154,3,,Vladimir Garmendia,Vladimir Garmendia,Rodrigo Mu–oz
2353,29-10-19,29,10,2019,Quintay A,TURF,7,3,40,12,Macroalga ,Lessonia trabeculata,1,1,45,21,177,3,Coalescente,Rodrigo Mu–oz,Rodrigo Mu–oz,Rodrigo Mu–oz
2354,29-10-19,29,10,2019,Quintay A,TURF,7,3,40,12,Macroalga ,Lessonia trabeculata,1,1,21,12,90,3,,Rodrigo Mu–oz,Rodrigo Mu–oz,Rodrigo Mu–oz
2355,29-10-19,29,10,2019,Quintay A,TURF,7,3,40,12,Macroalga ,Lessonia trabeculata,1,1,30,11,146,3,,Vladimir Garmendia,Vladimir Garmendia,Rodrigo Mu–oz
2356,29-10-19,29,10,2019,Quintay A,TURF,10,3,,16.6,Animal,Tegula tridentata,1,36,NaN,NaN,NaN,NaN,NaN,Camila Gonzalez,Camila Gonzalez,Camila Gonzalez
2357,29-10-19,29,10,2019,Quintay A,TURF,10,3,,16.6,Animal,Tetrapygus niger,1,1,NaN,NaN,NaN,NaN,NaN,Camila Gonzalez,Camila Gonzalez,Camila Gonzalez
2358,29-10-19,29,10,2019,Quintay B,TURF,10,2,,15,Macroalga ,Lessonia trabeculata,1,1,27,1,160,,,Hannah Earp,Hannah Earp,Italo Fernandez
2359,29-10-19,29,10,2019,Quintay B,TURF,10,2,,15,Macroalga ,Lessonia trabeculata,1,1,31,3,205,,,Hannah Earp,Hannah Earp,Italo Fernandez
2360,29-10-19,29,10,2019,Quintay B,TURF,10,2,,15,Macroalga ,Lessonia trabeculata,1,1,18,2,176,,,Hannah Earp,Hannah Earp,Italo Fernandez
2361,29-10-19,29,10,2019,Quintay B,TURF,10,3,,,Macroalga ,Lessonia trabeculata,1,1,37,,172,,,Camila Gonzalez,Camila Gonzalez,Camila Gonzalez
2362,29-10-19,29,10,2019,Quintay B,TURF,10,3,,,Macroalga ,Lessonia trabeculata,1,1,52,,200,,,Camila Gonzalez,Camila Gonzalez,Camila Gonzalez
2363,29-10-19,29,10,2019,Quintay B,TURF,10,3,,,Macroalga ,Lessonia trabeculata,1,1,26,9,158,,,Hannah Earp,Hannah Earp,Italo Fernandez
2364,29-10-19,29,10,2019,Quintay B,TURF,10,3,,,Macroalga ,Lessonia trabeculata,1,1,20,3,145,,,Hannah Earp,Hannah Earp,Italo Fernandez
2365,29-10-19,29,10,2019,Quintay A,TURF,7,3,40,12,Macroalga ,Lessonia trabeculata,1,1,33,18,200,3,,Vladimir Garmendia,Vladimir Garmendia,Rodrigo Mu–oz
2366,29-10-19,29,10,2019,Quintay A,TURF,7,3,40,12,Macroalga ,Lessonia trabeculata,1,1,24,15,,3,,Vladimir Garmendia,Vladimir Garmendia,Rodrigo Mu–oz
2367,29-10-19,29,10,2019,Quintay A,TURF,7,4,60,6,Macroalga ,Lessonia trabeculata,1,1,29,22,125,3,,Rodrigo Mu–oz,Rodrigo Mu–oz,Rodrigo Mu–oz
2368,29-10-19,29,10,2019,Quintay A,TURF,7,4,60,6,Macroalga ,Lessonia trabeculata,1,1,24,15,76,3,,Vladimir Garmendia,Vladimir Garmendia,Rodrigo Mu–oz
2369,29-10-19,29,10,2019,Quintay A,TURF,7,5,70,3.3,Macroalga ,Lessonia trabeculata,1,1,29,28,134,3,,Rodrigo Mu–oz,Rodrigo Mu–oz,Rodrigo Mu–oz
2370,29-10-19,29,10,2019,Quintay A,TURF,7,5,70,3.3,Macroalga ,Lessonia trabeculata,1,1,25,20,90,3,,Rodrigo Mu–oz,Rodrigo Mu–oz,Rodrigo Mu–oz
2371,29-10-19,29,10,2019,Quintay A,TURF,10,1,,16.4,Macroalga ,Lessonia trabeculata,1,1,12,1,183,,,Camila Gonzalez,Camila Gonzalez,Camila Gonzalez
2372,29-10-19,29,10,2019,Quintay A,TURF,10,1,,16.4,Macroalga ,Lessonia trabeculata,1,1,26,2,196,,,Camila Gonzalez,Camila Gonzalez,Camila Gonzalez
2373,29-10-19,29,10,2019,Quintay A,TURF,10,1,,16.4,Macroalga ,Lessonia trabeculata,1,1,22,13,122,,,Hannah Earp,Hannah Earp,Italo Fernandez
2374,29-10-19,29,10,2019,Quintay A,TURF,10,1,,16.4,Macroalga ,Lessonia trabeculata,1,1,19,8,104,,,Hannah Earp,Hannah Earp,Italo Fernandez
2375,29-10-19,29,10,2019,Quintay A,TURF,10,2,,17.8,Macroalga ,Lessonia trabeculata,1,1,33,11,200,,,Camila Gonzalez,Camila Gonzalez,Camila Gonzalez
2376,29-10-19,29,10,2019,Quintay A,TURF,10,4,,14.6,Animal,Tetrapygus niger,1,36,NaN,NaN,NaN,NaN,NaN,Camila Gonzalez,Camila Gonzalez,Camila Gonzalez
2377,29-10-19,29,10,2019,Quintay A,TURF,10,2,,17.8,Macroalga ,Lessonia trabeculata,1,1,53,10,179,,,Hannah Earp,Hannah Earp,Italo Fernandez
2378,29-10-19,29,10,2019,Quintay A,TURF,10,3,,16.6,Macroalga ,Lessonia trabeculata,1,1,33,4,185,,,Camila Gonzalez,Camila Gonzalez,Camila Gonzalez
2379,29-10-19,29,10,2019,Quintay A,TURF,10,3,,16.6,Macroalga ,Lessonia trabeculata,1,1,36,5,156,,,Camila Gonzalez,Camila Gonzalez,Camila Gonzalez
2380,29-10-19,29,10,2019,Quintay A,TURF,10,3,,16.6,Macroalga ,Lessonia trabeculata,1,1,22,4,220,,,Hannah Earp,Hannah Earp,Italo Fernandez
2381,29-10-19,29,10,2019,Quintay A,TURF,10,4,,14.6,Macroalga ,Lessonia trabeculata,1,1,36,7,225,,,Camila Gonzalez,Camila Gonzalez,Camila Gonzalez
2382,29-10-19,29,10,2019,Quintay A,TURF,10,4,,14.6,Macroalga ,Lessonia trabeculata,1,1,30,7,226,,,Camila Gonzalez,Camila Gonzalez,Camila Gonzalez
2383,29-10-19,29,10,2019,Quintay A,TURF,10,4,,14.6,Macroalga ,Lessonia trabeculata,1,1,46,6,190,,,Camila Gonzalez,Camila Gonzalez,Camila Gonzalez
2384,29-10-19,29,10,2019,Quintay A,TURF,10,4,,14.6,Macroalga ,Lessonia trabeculata,1,1,42,11,193,,,Hannah Earp,Hannah Earp,Italo Fernandez
2385,29-10-19,29,10,2019,Quintay A,TURF,10,4,,14.6,Macroalga ,Lessonia trabeculata,1,1,33,4,191,,,Hannah Earp,Hannah Earp,Italo Fernandez
2386,29-10-19,29,10,2019,Quintay A,TURF,10,4,,14.6,Macroalga ,Lessonia trabeculata,1,1,35,10,199,,,Hannah Earp,Hannah Earp,Italo Fernandez
2387,29-10-19,29,10,2019,Quintay A,TURF,10,5,,12.5,Animal,Tetrapygus niger,1,41,NaN,NaN,NaN,NaN,NaN,Camila Gonzalez,Camila Gonzalez,Camila Gonzalez
2388,29-10-19,29,10,2019,Quintay A,TURF,10,5,,12.5,Animal,Taliepus sp,1,1,NaN,NaN,NaN,NaN,NaN,Camila Gonzalez,Camila Gonzalez,Camila Gonzalez
2389,29-10-19,29,10,2019,Quintay A,TURF,10,5,,12.5,Macroalga ,Lessonia trabeculata,1,1,34,5,200,,,Camila Gonzalez,Camila Gonzalez,Camila Gonzalez
2390,29-10-19,29,10,2019,Quintay A,TURF,10,5,,12.5,Macroalga ,Lessonia trabeculata,1,1,30,2,150,,,Camila Gonzalez,Camila Gonzalez,Camila Gonzalez
2391,29-10-19,29,10,2019,Quintay A,TURF,10,5,,12.5,Macroalga ,Lessonia trabeculata,1,1,17,1,225,,,Hannah Earp,Hannah Earp,Italo Fernandez
2392,29-10-19,29,10,2019,Quintay A,TURF,10,5,,12.5,Macroalga ,Lessonia trabeculata,1,1,31,3,221,,,Hannah Earp,Hannah Earp,Italo Fernandez
2393,29-10-19,29,10,2019,Quintay A,TURF,10,6,,,Macroalga ,Lessonia trabeculata,1,1,53,9,196,,,Hannah Earp,Hannah Earp,Italo Fernandez
2394,08-12-2019,8,12,2019,Ventanas,TURF,10,5,10,7.8,Macroalga ,Lessonia trabeculata,1,1,24,2,160,3,,Italo Fernandez,Italo Fernandez,Italo Fernandez
2395,08-12-2019,8,12,2019,Ventanas,TURF,10,5,10,7.8,Macroalga ,Lessonia trabeculata,1,1,28,3,130,3,,Italo Fernandez,Italo Fernandez,Italo Fernandez
2396,08-12-2019,8,12,2019,Ventanas,TURF,10,5,10,7.8,Macroalga ,Lessonia trabeculata,1,1,27,4,190,3,,Italo Fernandez,Italo Fernandez,Italo Fernandez
2397,08-12-2019,8,12,2019,Ventanas,TURF,10,6,40,5.5,Macroalga ,Lessonia trabeculata,1,1,18,2,105,2,,NaN,NaN,NaN
2398,08-12-2019,8,12,2019,Ventanas,TURF,10,6,40,5.5,Macroalga ,Lessonia trabeculata,1,1,9,1,80,2,,NaN,NaN,NaN
2399,08-12-2019,8,12,2019,Ventanas,TURF,10,6,40,5.5,Macroalga ,Lessonia trabeculata,1,1,25,3,115,3,,NaN,NaN,NaN
2400,08-12-2019,8,12,2019,Ventanas,TURF,10,6,40,5.5,Macroalga ,Lessonia trabeculata,1,1,30,10,162,3,,NaN,NaN,NaN
2401,08-12-2019,8,12,2019,Ventanas,TURF,10,7,50,5.2,Macroalga ,Lessonia trabeculata,1,1,25,2,170,3,,NaN,NaN,NaN
2402,08-12-2019,8,12,2019,Ventanas,TURF,10,7,50,5.2,Macroalga ,Lessonia trabeculata,1,1,12,1,100,3,,NaN,NaN,NaN
2403,08-12-2019,8,12,2019,Ventanas,TURF,10,7,50,5.2,Macroalga ,Lessonia trabeculata,1,1,30,10,190,3,,NaN,NaN,NaN
2404,08-12-2019,8,12,2019,Ventanas,TURF,10,7,50,5.2,Animal,Tetrapygus niger,1,4,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2405,08-12-2019,8,12,2019,Ventanas,TURF,10,4,20,6.3,Macroalga ,Lessonia trabeculata,1,1,1,1,7,3,,NaN,NaN,NaN
2406,08-12-2019,8,12,2019,Ventanas,TURF,10,4,20,6.3,Macroalga ,Lessonia trabeculata,1,1,11,1,20,3,,NaN,NaN,NaN
2407,08-12-2019,8,12,2019,Ventanas,TURF,5,7,80,3.5,Macroalga ,Lessonia trabeculata,1,1,18,3,100,3,,NaN,NaN,NaN
2408,08-12-2019,8,12,2019,Ventanas,TURF,5,7,80,3.5,Macroalga ,Lessonia trabeculata,1,1,31,8,108,3,,NaN,NaN,NaN
2409,08-12-2019,8,12,2019,Ventanas,TURF,5,7,80,3.5,Macroalga ,Lessonia trabeculata,1,1,24,10,146,3,,NaN,NaN,NaN
2410,08-12-2019,8,12,2019,Ventanas,TURF,5,7,80,3.5,Macroalga ,Lessonia trabeculata,1,1,26,11,120,3,,NaN,NaN,NaN
2411,08-12-2019,8,12,2019,Ventanas,TURF,5,7,80,3.5,Animal,Taliepus sp,NaN,4,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2412,08-12-2019,8,12,2019,Ventanas,TURF,5,8,70,,Macroalga ,Lessonia trabeculata,1,1,18,2,100,3,,NaN,NaN,NaN
2413,08-12-2019,8,12,2019,Ventanas,TURF,5,8,70,,Macroalga ,Lessonia trabeculata,1,1,14,2,120,3,,NaN,NaN,NaN
2414,08-12-2019,8,12,2019,Ventanas,TURF,5,8,70,,Macroalga ,Lessonia trabeculata,1,1,13,1,125,3,,NaN,NaN,NaN
2415,08-12-2019,8,12,2019,Ventanas,TURF,5,8,70,,Macroalga ,Lessonia trabeculata,1,1,27,2,150,3,,NaN,NaN,NaN
2416,08-12-2019,8,12,2019,Ventanas,TURF,5,8,70,,Animal,Taliepus sp,1,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2417,08-12-2019,8,12,2019,Ventanas,TURF,5,6,50,5.2,Macroalga ,Lessonia trabeculata,1,1,12,2,160,3,,NaN,NaN,NaN
2418,08-12-2019,8,12,2019,Ventanas,TURF,5,6,50,5.2,Macroalga ,Lessonia trabeculata,1,1,37,8,140,3,,NaN,NaN,NaN
2419,08-12-2019,8,12,2019,Ventanas,TURF,5,6,50,5.2,Animal,Tegula tridentata,1,41,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2420,08-12-2019,8,12,2019,Ventanas,TURF,5,6,50,5.2,Animal,Taliepus sp,1,4,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2421,08-12-2019,8,12,2019,Ventanas,TURF,5,1,0,6.7,Macroalga ,Lessonia trabeculata,1,1,22,2,110,2,,Camila Gonzalez,Camila Gonzalez,Camila Gonzalez
2422,08-12-2019,8,12,2019,Ventanas,TURF,5,1,0,6.7,Macroalga ,Lessonia trabeculata,1,1,30,6,190,2,,Camila Gonzalez,Camila Gonzalez,Camila Gonzalez
2423,08-12-2019,8,12,2019,Ventanas,TURF,5,1,0,6.7,Macroalga ,Lessonia trabeculata,1,1,27,4,132,3,,Camila Gonzalez,Camila Gonzalez,Camila Gonzalez
2424,08-12-2019,8,12,2019,Ventanas,TURF,5,1,0,6.7,Macroalga ,Lessonia trabeculata,1,1,29,4,144,3,,Camila Gonzalez,Camila Gonzalez,Camila Gonzalez
2425,08-12-2019,8,12,2019,Ventanas,TURF,5,1,0,6.7,Macroalga ,Lessonia trabeculata,1,1,29,8,138,3,,Camila Gonzalez,Camila Gonzalez,Camila Gonzalez
2426,08-12-2019,8,12,2019,Ventanas,TURF,5,1,0,6.7,Animal,Taliepus sp,1,2,NaN,NaN,NaN,NaN,NaN,Camila Gonzalez,Camila Gonzalez,Camila Gonzalez
2427,08-12-2019,8,12,2019,Ventanas,TURF,5,2,10,7.2,Macroalga ,Lessonia trabeculata,1,1,14,1,95,3,,Camila Gonzalez,Camila Gonzalez,Camila Gonzalez
2428,08-12-2019,8,12,2019,Ventanas,TURF,5,2,10,7.2,Macroalga ,Lessonia trabeculata,1,1,32,3,200,2,,Camila Gonzalez,Camila Gonzalez,Camila Gonzalez
2429,08-12-2019,8,12,2019,Ventanas,TURF,5,2,10,7.2,Macroalga ,Lessonia trabeculata,1,1,16,2,177,3,,Camila Gonzalez,Camila Gonzalez,Camila Gonzalez
2430,08-12-2019,8,12,2019,Ventanas,TURF,5,2,10,7.2,Macroalga ,Lessonia trabeculata,1,1,33,2,123,3,,Camila Gonzalez,Camila Gonzalez,Camila Gonzalez
2431,08-12-2019,8,12,2019,Ventanas,TURF,5,2,10,7.2,Macroalga ,Lessonia trabeculata,1,1,25,2,120,3,,Camila Gonzalez,Camila Gonzalez,Camila Gonzalez
2432,08-12-2019,8,12,2019,Ventanas,TURF,5,2,10,7.2,Animal,Taliepus sp,1,1,NaN,NaN,NaN,NaN,NaN,Camila Gonzalez,Camila Gonzalez,Camila Gonzalez
2433,08-12-2019,8,12,2019,Ventanas,TURF,5,3,20,6.8,Macroalga ,Lessonia trabeculata,1,1,27,3,138,2,,Camila Gonzalez,Camila Gonzalez,Camila Gonzalez
2434,08-12-2019,8,12,2019,Ventanas,TURF,5,3,20,6.8,Macroalga ,Lessonia trabeculata,1,1,26,1,140,1,,Camila Gonzalez,Camila Gonzalez,Camila Gonzalez
2435,08-12-2019,8,12,2019,Ventanas,TURF,5,3,20,6.8,Macroalga ,Lessonia trabeculata,1,1,34,6,155,2,,Camila Gonzalez,Camila Gonzalez,Camila Gonzalez
2436,08-12-2019,8,12,2019,Ventanas,TURF,5,3,20,6.8,Macroalga ,Lessonia trabeculata,1,1,24,3,144,2,,Camila Gonzalez,Camila Gonzalez,Camila Gonzalez
2437,08-12-2019,8,12,2019,Ventanas,TURF,5,4,30,5.8,Macroalga ,Lessonia trabeculata,1,1,67,17,165,3,,Camila Gonzalez,Camila Gonzalez,Camila Gonzalez
2438,08-12-2019,8,12,2019,Ventanas,TURF,5,4,30,5.8,Macroalga ,Lessonia trabeculata,1,1,30,8,156,3,,Camila Gonzalez,Camila Gonzalez,Camila Gonzalez
2439,08-12-2019,8,12,2019,Ventanas,TURF,5,4,30,5.8,Macroalga ,Lessonia trabeculata,1,1,33,4,168,2,,Camila Gonzalez,Camila Gonzalez,Camila Gonzalez
2440,08-12-2019,8,12,2019,Ventanas,TURF,5,5,40,6.2,Macroalga ,Lessonia trabeculata,1,1,40,5,154,3,,Camila Gonzalez,Camila Gonzalez,Camila Gonzalez
2441,08-12-2019,8,12,2019,Ventanas,TURF,5,5,40,6.2,Macroalga ,Lessonia trabeculata,1,1,16,1,100,3,,Camila Gonzalez,Camila Gonzalez,Camila Gonzalez
2442,08-12-2019,8,12,2019,Ventanas,TURF,5,5,40,6.2,Macroalga ,Lessonia trabeculata,1,1,34,2,140,3,,Camila Gonzalez,Camila Gonzalez,Camila Gonzalez
2443,08-12-2019,8,12,2019,Ventanas,TURF,5,5,40,6.2,Macroalga ,Lessonia trabeculata,1,1,40,9,152,3,,Camila Gonzalez,Camila Gonzalez,Camila Gonzalez
2444,08-12-2019,8,12,2019,Ventanas,TURF,5,6,50,5.2,Macroalga ,Lessonia trabeculata,1,1,26,17,154,3,,Camila Gonzalez,Camila Gonzalez,Camila Gonzalez
2445,08-12-2019,8,12,2019,Ventanas,TURF,10,1,0,8.9,Macroalga ,Lessonia trabeculata,1,1,18,1,210,3,,Camila Gonzalez,Camila Gonzalez,Camila Gonzalez
2446,08-12-2019,8,12,2019,Ventanas,TURF,10,1,0,8.9,Macroalga ,Lessonia trabeculata,1,1,37,8,163,3,,Camila Gonzalez,Camila Gonzalez,Camila Gonzalez
2447,08-12-2019,8,12,2019,Ventanas,TURF,10,1,0,8.9,Macroalga ,Lessonia trabeculata,1,1,26,3,187,3,,Camila Gonzalez,Camila Gonzalez,Camila Gonzalez
2448,08-12-2019,8,12,2019,Ventanas,TURF,10,1,0,8.9,Macroalga ,Lessonia trabeculata,1,1,27,3,181,1,,Camila Gonzalez,Camila Gonzalez,Camila Gonzalez
2449,08-12-2019,8,12,2019,Ventanas,TURF,10,1,0,8.9,Macroalga ,Lessonia trabeculata,1,1,21,2,180,3,,Camila Gonzalez,Camila Gonzalez,Camila Gonzalez
